subject,RT,luminance,eccentricity,center_changed,q1_response,q2_response,q3_response
1,12.0930650000228,1.2,2,1,1,1,2
1,5.22818999993615,1.2,2,1,1,1,2
1,9.42281000001822,1.2,2,1,1,1,2
1,6.70707499992568,1.2,2,1,1,1,2
1,NaN,1.2,2,NaN,NaN,NaN,NaN
1,10.2758049999829,1.2,2,NaN,3,8,2
1,7.39691000001039,1.2,2,1,1,1,2
1,10.5878800000064,1.2,2,1,1,1,2
1,4.40216499997769,1.2,2,1,1,1,2
1,NaN,1.2,2,NaN,NaN,NaN,NaN
1,7.4077549999347,1.2,2,NaN,3,8,2
1,3.64093500003219,1.2,2,1,1,1,2
1,3.86043499992229,1.2,2,1,1,1,2
1,3.48031999997329,1.2,2,1,1,1,2
1,3.46252500009723,1.2,2,NaN,3,8,2
1,2.85511500004213,1.2,2,NaN,4,NaN,NaN
1,3.63287500001024,1.2,2,NaN,3,8,2
1,4.0474750000285,1.2,2,1,1,1,2
1,3.75579000008292,1.2,2,1,1,1,2
1,2.47934499999974,1.2,2,NaN,4,NaN,NaN
1,2.24526999995578,1,0,NaN,4,NaN,NaN
1,1.77022500010207,1,0,NaN,4,NaN,NaN
1,NaN,2,2,NaN,NaN,NaN,NaN
2,NaN,1.2,2,NaN,NaN,NaN,NaN
2,7.23975999999989,1.2,2,0,2,2,NaN
2,9.8144499999999,1.2,2,1,1,2,NaN
2,6.011755,1.2,2,0,2,3,NaN
2,NaN,1.2,2,NaN,NaN,NaN,NaN
2,7.78030499999976,1.2,2,0,2,4,NaN
2,4.54342499999981,1.2,2,1,1,2,NaN
2,8.77953499999968,1.2,2,1,1,2,NaN
2,3.42311999999994,1.2,2,0,2,2,NaN
2,4.56773999999993,1.2,2,1,1,2,NaN
2,NaN,1.2,2,NaN,NaN,NaN,NaN
2,5.40526000000001,1.2,2,1,1,2,NaN
2,7.81106499999989,1.2,2,0,2,4,NaN
2,7.35533000000031,1.2,2,1,1,2,NaN
2,NaN,1.2,2,NaN,NaN,NaN,NaN
2,NaN,1.2,2,NaN,NaN,NaN,NaN
2,6.40794000000006,1.2,2,0,2,3,NaN
2,5.63073000000033,1.2,2,1,1,4,NaN
2,6.52836000000022,1.2,2,1,1,3,NaN
2,5.06053999999992,1.2,2,1,1,3,NaN
2,1.90948999999999,1,0,NaN,4,NaN,NaN
2,4.79662999999989,1,0,NaN,4,NaN,NaN
2,NaN,2,2,NaN,NaN,NaN,NaN
3,11.58621,1.2,2,0,2,3,NaN
3,10.3556900000004,1.2,2,0,2,4,NaN
3,11.011825,1.2,2,0,2,4,NaN
3,10.7661400000002,1.2,2,0,2,3,NaN
3,7.18705499999982,1.2,2,1,1,2,NaN
3,7.82032500000019,1.2,2,1,1,3,NaN
3,11.2582499999999,1.2,2,0,2,4,NaN
3,13.3842449999996,1.2,2,NaN,3,10,2
3,11.96261,1.2,2,1,1,5,NaN
3,14.8543850000001,1.2,2,1,1,3,NaN
3,11.3215399999999,1.2,2,1,1,2,NaN
3,NaN,1.2,2,NaN,NaN,NaN,NaN
3,11.5451699999999,1.2,2,1,1,3,NaN
3,10.0650550000001,1.2,2,NaN,3,10,2
3,5.32513000000024,1.2,2,0,2,1,2
3,8.25742499999981,1.2,2,0,2,3,NaN
3,9.4693600000001,1.2,2,1,1,2,NaN
3,6.84531999999983,1.2,2,1,1,1,2
3,10.3585899999999,1.2,2,1,1,2,NaN
3,6.34062499999988,1.2,2,1,1,3,NaN
3,1.61210000000021,1,0,NaN,4,NaN,NaN
3,1.18859999999998,1,0,NaN,4,NaN,NaN
