subject,comment
1,"Sometimes there was what looked like a bevelled ring but mostly they just started to blend together and most of the time it looked like the centre disappeared into background, rather than background matching centre"
2,"blue circle"
3,""
4,"The centre was a lot darker and then the centre went the same brighter blue that the outside was."
5,"The centre circle would become the background colour over time"
6,"Usually, the centre colour slowly changed into the same colour as the outside."
7,"i had to stare at a dot in the center and keep my eyes there until the centre circle turned into the same colour as the outside."
8,"Its very few illusion i face"
9,"I was staring at it for a while and the centre circle was quite distinctive then all of a sudden it disappeared."
10,"It was usually the centre that changed colour, but sometimes the outside did as well. It also varied between being a gradual and immediate change in colour. It was often very hard to tell whether they were the same colour. A very fine distinction between the different shades of blue! "
11,"none"
12,"in most occasions it didn't change and I really wanted it to. I would look at the centre mark and the ring around the centre circle appeared on most occasions"
13,"There were lots of times when it almost disappeared but then an edge would change colour and keep the circle still visible. Towards the end I also seem to see the edge to the screen in different colours a lighter blue in my peripheral vision, like a glow. Overall though the  coulour change only seemed to happen maybe twice. I very often could see the edges swop colour or shade and as I say that kept the overall shape present"
14,"There were two distinct colours to start with then after about 5 seconds the middle colour faded away"
15,"The edges of the centre began to blur into one with the background"
16,"the colour slowly changed "
17,"it went from color to a gray fuzzy fast moving static"
18,"The centre would change colour to match the outside colour most of the time, then a ring outside the inner circle was appearing with the centre colour and outside colour spinning round the inner circle."
19,"The dark blues would usually emanate itself towards the outside color, whereas the lighter the color or similar to background the more likely it is to merge itself with each other. "
20,"i saw two blue circles and they sometimes merged into the same colour or did not change at all"
21,"The centre changed colour the most, usually slowly over time. "
22,""
23,"it was wobbly"
24,"The illusion occurred for me mostly in an inward from the outside pattern."
25,"Suddenly"
26,"It was more like bits of colour was changing in the centre and less like a perfect spread."
27,"The circle only disappeared completely a couple of times, although many times it nearly vanished and then became more clear again. In nearly all cases I saw shades of blue seeming to pulse around the edge of the circle."
28,"Not a lot happened, didnt enjoy it"
29,"It was fine and I had no technical problems with the illusion."
30,"Very little"
31,"It didn't on most occasions. Managed it during the trials, but virtually none of the live sessions worked."
32,"Not sure if I really understand the question -- it started off 'working' and then didn't really work anymore after a while?"
33,"It only occurred on the trials when the circle was bigger"
34,"It occurred during the test pages no problem but I seemed to not see it for most of the real instances, sorry"
35,"It didn't change most times. Sometimes I saw two circles, one empty, one  with the white dots."
36,"It looked like the colors were being manipulated almost simultaneously to arrive at the same color. However, only a few of these examples ever reached the same color."
37,"sometime it wouldn't change colors but other time the center would slowly fade in and out still it became the same color as the rest of the screen"
38,"Most often, the color change would sweep from one side to the other, alternating between the inner and outer colors changing. "
39,"alternation between the background outer section changing colour and the inner circle becoming the same colour as the outside "
40,"good"
41,"i could see static with a faint circle randomly changing position"
42,"it mostly consisted of the centre circle fading from one side to another, matching the outer colour."
43,"Inner circle darkened from the outside"
44,"The central circle would gradually fade into to colour of the background when I focussed on the centre dot."
45,"It didn't take long before they qiockly merged"
46,"The illusion throughout the study would change from no changes, to the outside or inside changing colors."
47,"blue screen with a slightly darker or brighter smaller blue circle in the center"
48,"It mostly disappeared after about 5 seconds and usually it was the centre disappearing from the middle"
49,"the outside slowly became the same color as the inner circle"
50,"It slowing starting spreading and then the circle just disappeared."
51,"the illusion seems to me as a full moon aligning with the sun"
52,"Faded in and out almost"
53,"I kept seeing the inner circle as darker than the outer colour. I was starting to worry that I was doing wrong!"
54,"dark blue circle and lighter blue background"
55,"At the start the illusion changed the center pretty quickly, ""engulfing"" the circle from the bottom to the top but then it started happening so fast I couldn't even tell"
56,"For the most part it involved the center portion blending into the color of the outer circle. I did notice that in my focus on the center cross, i couldn't accurately pick up happenings and subtle changes in the larger surroundings"
57,"The center circle became bigger"
58,"When continously staring at the white dot, everything becomes the same colour "
59,"a progressive change swept the image, usually originating from the center circle. In some trials i couldn't decipher a complete change till microseconds before the static screen came on."
60,"there was a darker circle inside a lighter screen and sometimes the darker circle would seem to creep out from the center and the outside would get darker. However, it rarely all became one color for me?"
61,"Typically it appeared as with the circle being dark with what appeared to be a raised rim. The darker centre colour would then normalise with the outer colour - typically from either an area just outside of the middle of the circle outwards, or alternatively from the left of the circle to the right. With the former the process felt more gradual, whilst with the later it was quicker - with the left of the circle changing colour first more slowly, before jolting the colour to the rest of the area. In almost all cases the ""rim"" was present before merging with the background briefly, then quickly returning. In the case of the colour moving from left to right the left part of the rim would always be present, with only the right part of the rim going through the merging / reappearing process. In all examples - where the colours merged that is - the contrast between the inner circle and outer colour returned quickly after my vision merged the colours. This occurred at times with no rim, and in others the contrast had one. "
62,"Mostly it didn't change but when it did the circle moved to the right then the colours changed"
63,"The centre appeared darker, sometimes fading a little but only disappeared twice"
64,"a lot of the time it change slightly but I could still see a difference in the colors"
65,"It ocurred ds22 black and white spot on a blue background."
66,"the border between the two colours start to move around then the colour change will come"
